15:12:42.102457 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31351376:31351548, ack 17461, win 313, length 172
15:12:42.102516 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31351548:31351720, ack 17461, win 313, length 172
15:12:42.102572 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31351720:31351892, ack 17461, win 313, length 172
15:12:42.102638 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31351892:31352064, ack 17461, win 313, length 172
15:12:42.102695 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31352064:31352236, ack 17461, win 313, length 172
15:12:42.102756 IP 198.96.85.21.63664 > lamp-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 31340704, win 4123, length 0
15:12:42.102771 IP 198.96.85.21.63664 > lamp-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 31344092, win 4123, length 0
15:12:42.102780 IP 198.96.85.21.63664 > lamp-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 31345984, win 4123, length 0
15:12:42.102833 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31352236:31352408, ack 17461, win 313, length 172
15:12:42.102899 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31352408:31352924, ack 17461, win 313, length 516
15:12:42.102961 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31352924:31353096, ack 17461, win 313, length 172
15:12:42.103018 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31353096:31353268, ack 17461, win 313, length 172
15:12:42.103080 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31353268:31353440, ack 17461, win 313, length 172
15:12:42.103158 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31353440:31353612, ack 17461, win 313, length 172
15:12:42.103252 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31353612:31353784, ack 17461, win 313, length 172
15:12:42.103333 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31353784:31353956, ack 17461, win 313, length 172
15:12:42.103381 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31353956:31354128, ack 17461, win 313, length 172
15:12:42.103444 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31354128:31354300, ack 17461, win 313, length 172
15:12:42.103505 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31354300:31354472, ack 17461, win 313, length 172
15:12:42.103562 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31354472:31354644, ack 17461, win 313, length 172
15:12:42.103620 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31354644:31354816, ack 17461, win 313, length 172
15:12:42.103699 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31354816:31354988, ack 17461, win 313, length 172
15:12:42.103768 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31354988:31355160, ack 17461, win 313, length 172
15:12:42.103825 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31355160:31355332, ack 17461, win 313, length 172
15:12:42.103881 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31355332:31355504, ack 17461, win 313, length 172
15:12:42.103935 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31355504:31355676, ack 17461, win 313, length 172
15:12:42.103990 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31355676:31355848, ack 17461, win 313, length 172
15:12:42.104044 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31355848:31356020, ack 17461, win 313, length 172
15:12:42.104099 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31356020:31356192, ack 17461, win 313, length 172
15:12:42.104153 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31356192:31356364, ack 17461, win 313, length 172
15:12:42.104235 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31356364:31356536, ack 17461, win 313, length 172
15:12:42.104322 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31356536:31356708, ack 17461, win 313, length 172
15:12:42.104383 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31356708:31356880, ack 17461, win 313, length 172
